order_id,customer_id,amount,order_date
8001,205,2454,02-03-2024
8002,211,3790,02-03-2024
8003,206,2810,2024/03/05
8004,205,2707,05-04-2024
8005,212,2244,05-04-2024
8006,204,1952,05-04-2024
8007,210,3371,2024/02/01
8008,202,1660,2024/03/05
8009,206,4561,05-04-2024
8010,212,2643,02-03-2024
8011,208,1831,02-03-2024
8012,210,2773,05-04-2024
8013,206,4045,2024/03/05
8014,202,3377,2024/02/01
8015,208,3588,05-04-2024
8016,212,1902,05-04-2024
8017,202,3712,2024/02/01
8018,212,3615,2024-01-31
8019,205,3769,02-03-2024
8020,212,2923,02-03-2024
8021,205,4012,05-04-2024
8022,213,2183,2024/02/01
8023,207,1330,2024/02/01
8024,212,2329,2024/03/05
8025,209,1209,05-04-2024
8026,213,3667,05-04-2024
